video_id,split,action,true_count,pred_count,abs_err,pred_periods_json,true_periods_json,primary_signal,mean_confidence,n_rejects,n_crossings,n_candidates,n_accepted,reject_fail_vote,reject_fail_phi,reject_fail_r,moving_fraction,status,method
stu10_43,test,push_up,17,1,16,"[[755,823]]","[[4,106],[106,200],[200,287],[288,376],[376,471],[471,567],[567,664],[798,916],[916,1015],[1015,1106],[1106,1211],[1211,1304],[1304,1397],[1398,1482],[1482,1576],[1576,1668],[1668,1757]]",elbow_flex,0.6844220590053783,2,21,3,1,2,6,0,0.8702672605790646,ok,phase_native_online_phase_crossing
stu10_48,test,push_up,5,3,2,"[[564,637],[749,775],[775,829]]","[[244,322],[322,368],[368,422],[738,798],[798,853]]",elbow_flex,0.7359803216740025,9,23,12,3,9,23,1,0.8320180383314544,ok,phase_native_online_phase_crossing
stu4_47,test,push_up,37,19,18,"[[163,183],[183,209],[209,228],[228,262],[283,311],[311,342],[363,389],[389,422],[422,446],[446,471],[471,496],[511,524],[524,542],[599,625],[682,712],[712,740],[740,771],[771,804],[834,871]]","[[84,104],[105,132],[132,156],[156,187],[188,214],[215,241],[242,266],[267,292],[293,319],[321,343],[344,366],[368,396],[397,423],[424,452],[454,476],[476,502],[504,529],[531,556],[557,584],[587,607],[609,639],[642,663],[664,697],[698,724],[728,759],[759,787],[789,817],[818,850],[853,888],[889,935],[937,976],[979,1019],[1019,1096],[1324,1391],[1394,1436],[1440,1528],[1533,1623]]",elbow_flex,0.7686330258659183,7,47,26,19,7,15,1,0.8963270142180095,ok,phase_native_online_phase_crossing
stu5_62,test,squat,32,20,12,"[[96,127],[127,158],[158,191],[191,225],[225,259],[259,294],[294,327],[327,359],[359,394],[394,429],[498,533],[640,681],[827,850],[1086,1124],[1124,1163],[1204,1242],[1242,1283],[1283,1325],[1325,1366],[1366,1406]]","[[74,104],[104,134],[134,171],[171,204],[204,236],[236,268],[268,302],[302,337],[337,371],[371,407],[407,446],[446,479],[479,512],[512,546],[546,583],[583,619],[619,654],[654,990],[990,1027],[1027,1065],[1065,1101],[1101,1138],[1138,1181],[1181,1219],[1219,1258],[1258,1300],[1300,1343],[1343,1385],[1385,1425],[1425,1470],[1470,1510],[1510,1559]]",knee_flex,0.7991649064364897,9,45,29,20,9,24,1,0.9247669773635153,ok,phase_native_online_phase_crossing
stu8_71,test,squat,4,1,3,"[[189,253]]","[[1,53],[53,128],[128,204],[204,288]]",knee_flex,0.6969950857290222,1,4,2,1,1,3,1,0.8040540540540541,ok,phase_native_online_phase_crossing
stu9_36,test,pull_up,11,0,11,[],"[[20,82],[82,144],[144,202],[202,261],[261,323],[323,387],[387,444],[444,504],[504,566],[566,631],[631,702]]",elbow_flex,0.0,0,10,0,0,0,0,0,0.8853333333333333,ok,phase_native_online_phase_crossing
stu9_64,test,squat,14,3,11,"[[198,275],[837,927],[1101,1164]]","[[61,126],[127,203],[203,273],[273,345],[345,426],[426,515],[515,594],[594,670],[670,761],[761,847],[847,927],[927,1008],[1008,1093],[1093,1169]]",knee_flex,0.744331932159319,0,12,3,3,0,0,0,0.9019607843137255,ok,phase_native_online_phase_crossing
test1454,test,pull_up,6,1,5,"[[271,295]]","[[25,66],[66,109],[109,151],[151,199],[199,243],[243,286]]",elbow_flex,0.5946731766111122,6,12,7,1,6,13,0,0.8531468531468531,ok,phase_native_online_phase_crossing
train2508,test,pull_up,4,0,4,[],"[[41,90],[90,133],[133,241],[241,299]]",elbow_flex,0.0,0,4,0,0,0,0,0,0.8466666666666667,ok,phase_native_online_phase_crossing
val1244,test,squat,1,0,1,[],"[[5,109]]",knee_flex,0.0,2,4,2,0,2,6,0,0.9032258064516129,ok,phase_native_online_phase_crossing
