video_id,split,action,true_count,pred_count,abs_err,pred_periods_json,true_periods_json,candidate_count,accepted_count,mean_confidence,vote_k,status,method
stu10_43,test,push_up,17,15,2,"[[51,143],[143,250],[250,343],[343,437],[437,527],[527,618],[884,971],[971,1069],[1069,1156],[1156,1245],[1245,1348],[1348,1444],[1444,1533],[1533,1623],[1623,1724]]","[[4,106],[106,200],[200,287],[288,376],[376,471],[471,567],[567,664],[798,916],[916,1015],[1015,1106],[1106,1211],[1211,1304],[1304,1397],[1398,1482],[1482,1576],[1576,1668],[1668,1757]]",17,15,0.79841866772924,2,ok,proposed_phase_vote
stu10_48,test,push_up,5,3,2,"[[288,340],[340,391],[765,820]]","[[244,322],[322,368],[368,422],[738,798],[798,853]]",8,3,0.9257265028269485,2,ok,proposed_phase_vote
stu4_47,test,push_up,37,21,16,"[[103,128],[128,153],[180,207],[207,232],[259,285],[544,568],[595,622],[622,651],[651,680],[680,709],[709,739],[739,771],[771,803],[834,871],[871,908],[908,954],[954,994],[994,1058],[1366,1421],[1421,1483],[1483,1577]]","[[84,104],[105,132],[132,156],[156,187],[188,214],[215,241],[242,266],[267,292],[293,319],[321,343],[344,366],[368,396],[397,423],[424,452],[454,476],[476,502],[504,529],[531,556],[557,584],[587,607],[609,639],[642,663],[664,697],[698,724],[728,759],[759,787],[789,817],[818,850],[853,888],[889,935],[937,976],[979,1019],[1019,1096],[1324,1391],[1394,1436],[1440,1528],[1533,1623]]",52,21,0.7745413676217046,2,ok,proposed_phase_vote
stu5_62,test,squat,32,27,5,"[[92,122],[122,156],[156,189],[189,221],[221,255],[255,290],[290,325],[325,359],[359,394],[394,429],[459,496],[496,529],[529,568],[568,600],[600,639],[915,1013],[1013,1050],[1050,1082],[1082,1123],[1123,1160],[1160,1204],[1239,1280],[1280,1321],[1321,1362],[1362,1405],[1405,1447],[1493,1535]]","[[74,104],[104,134],[134,171],[171,204],[204,236],[236,268],[268,302],[302,337],[337,371],[371,407],[407,446],[446,479],[479,512],[512,546],[546,583],[583,619],[619,654],[654,990],[990,1027],[1027,1065],[1065,1101],[1101,1138],[1138,1181],[1181,1219],[1219,1258],[1258,1300],[1300,1343],[1343,1385],[1385,1425],[1425,1470],[1470,1510],[1510,1559]]",30,27,0.7905793796985464,2,ok,proposed_phase_vote
stu8_71,test,squat,4,3,1,"[[8,97],[97,174],[174,249]]","[[1,53],[53,128],[128,204],[204,288]]",3,3,0.7663278700341162,2,ok,proposed_phase_vote
stu9_36,test,pull_up,11,9,2,"[[47,105],[105,169],[169,223],[279,343],[343,407],[407,461],[461,534],[534,581],[581,649]]","[[20,82],[82,144],[144,202],[202,261],[261,323],[323,387],[387,444],[444,504],[504,566],[566,631],[631,702]]",11,9,0.7050692049412971,2,ok,proposed_phase_vote
stu9_64,test,squat,14,13,1,"[[84,158],[158,234],[234,309],[309,379],[379,458],[458,548],[621,712],[712,795],[795,876],[876,965],[965,1049],[1049,1127],[1127,1204]]","[[61,126],[127,203],[203,273],[273,345],[345,426],[426,515],[515,594],[594,670],[670,761],[761,847],[847,927],[927,1008],[1008,1093],[1093,1169]]",15,13,0.7054214780428449,2,ok,proposed_phase_vote
test1454,test,pull_up,6,4,2,"[[2,21],[21,40],[40,62],[62,88]]","[[25,66],[66,109],[109,151],[151,199],[199,243],[243,286]]",13,4,0.7031205483317892,2,ok,proposed_phase_vote
train2508,test,pull_up,4,1,3,"[[206,276]]","[[41,90],[90,133],[133,241],[241,299]]",5,1,0.7192835659100537,2,ok,proposed_phase_vote
val1244,test,squat,1,1,0,"[[85,117]]","[[5,109]]",3,1,0.7161371158554236,2,ok,proposed_phase_vote
